	firename	ii	jj	pixclass
165	boundary	116	69	background
166	boundary	52	97	background
167	boundary	110	129	background
168	boundary	133	238	background
169	boundary	115	136	background
170	boundary	149	198	background
171	boundary	41	108	background
172	boundary	173	176	background
173	boundary	181	231	background
174	boundary	73	113	background
175	boundary	120	162	background
176	boundary	140	274	background
177	boundary	142	67	background
178	boundary	126	255	background
179	boundary	39	169	background
180	boundary	187	30	background
181	boundary	159	136	background
182	boundary	170	37	background
183	boundary	215	264	background
184	boundary	68	161	background
185	boundary	177	196	background
186	boundary	128	128	background
187	boundary	231	167	background
188	boundary	168	257	background
189	boundary	109	88	background
190	boundary	110	67	background
191	boundary	149	275	background
192	boundary	231	201	background
193	boundary	129	211	background
194	boundary	78	175	background
195	boundary	121	74	background
196	boundary	226	185	background
197	boundary	46	174	background
198	boundary	180	58	background
199	boundary	90	88	background
200	woodriver	378	355	fire
201	woodriver	92	420	fire
202	woodriver	119	536	fire
203	woodriver	877	263	fire
204	woodriver	110	421	fire
205	woodriver	132	430	fire
206	woodriver	183	419	fire
207	woodriver	319	424	fire
208	woodriver	176	399	fire
209	woodriver	31	473	fire
210	woodriver	96	432	fire
211	woodriver	239	272	fire
212	woodriver	122	448	fire
213	woodriver	157	465	fire
214	woodriver	107	517	fire
215	woodriver	875	260	fire
216	woodriver	886	265	fire
217	woodriver	112	421	fire
218	woodriver	103	433	fire
219	woodriver	55	361	fire
220	woodriver	798	216	fire
221	woodriver	875	265	fire
222	woodriver	877	261	fire
223	woodriver	237	271	fire
224	woodriver	405	353	fire
225	woodriver	133	392	fire
226	woodriver	31	472	fire
227	woodriver	107	349	fire
228	woodriver	177	400	fire
229	woodriver	875	259	fire
230	woodriver	142	328	fire
231	woodriver	322	203	fire
232	woodriver	382	413	fire
233	woodriver	875	264	fire
234	woodriver	158	466	fire
235	woodriver	405	354	fire
236	woodriver	143	329	fire
237	woodriver	319	423	fire
238	woodriver	318	424	fire
239	woodriver	505	166	fire
240	woodriver	107	518	fire
241	woodriver	125	451	fire
242	woodriver	885	267	fire
243	woodriver	93	438	fire
244	woodriver	885	262	fire
245	woodriver	315	437	fire
246	woodriver	112	422	fire
247	woodriver	506	165	fire
248	woodriver	315	434	fire
249	woodriver	876	260	fire
250	woodriver	102	428	background
251	woodriver	46	453	background
252	woodriver	274	323	background
253	woodriver	140	400	background
254	woodriver	880	266	background
255	woodriver	24	466	background
256	woodriver	175	388	background
257	woodriver	376	405	background
258	woodriver	134	323	background
259	woodriver	167	467	background
260	woodriver	231	270	background
261	woodriver	96	439	background
262	woodriver	385	345	background
263	woodriver	71	418	background
264	woodriver	73	409	background
265	woodriver	315	438	background
266	woodriver	608	368	background
267	woodriver	279	330	background
268	woodriver	313	444	background
269	woodriver	114	426	background
270	woodriver	226	450	background
271	woodriver	343	284	background
272	woodriver	337	281	background
273	woodriver	398	344	background
274	woodriver	326	199	background
275	woodriver	324	450	background
276	woodriver	397	361	background
277	woodriver	157	459	background
278	woodriver	325	205	background
279	woodriver	225	436	background
280	woodriver	349	352	background
281	woodriver	290	332	background
282	woodriver	392	403	background
283	woodriver	896	273	background
284	woodriver	90	440	background
285	woodriver	184	491	background
286	woodriver	379	353	background
287	woodriver	66	418	background
288	woodriver	48	354	background
289	woodriver	410	354	background
290	woodriver	135	458	background
291	woodriver	187	411	background
292	woodriver	276	289	background
293	woodriver	308	439	background
294	woodriver	400	344	background
295	woodriver	324	197	background
296	woodriver	788	215	background
297	woodriver	899	263	background
298	woodriver	371	349	background
299	woodriver	153	480	background
300	crazy	108	56	fire
301	crazy	74	85	fire
302	crazy	31	43	fire
303	crazy	27	47	fire
304	crazy	93	58	fire
305	crazy	103	47	fire
306	crazy	25	123	fire
307	crazy	103	27	fire
308	crazy	100	65	fire
309	crazy	61	150	fire
310	crazy	101	57	fire
311	crazy	42	58	fire
312	crazy	65	140	fire
313	crazy	98	73	fire
314	crazy	25	49	fire
315	crazy	98	66	fire
316	crazy	104	71	fire
317	crazy	32	58	fire
318	crazy	97	83	fire
319	crazy	93	53	fire
320	crazy	71	49	fire
321	crazy	101	34	fire
322	crazy	27	54	fire
323	crazy	101	79	fire
324	crazy	81	64	fire
325	crazy	98	50	fire
326	crazy	97	62	fire
327	crazy	78	53	fire
328	crazy	98	69	fire
329	crazy	65	36	fire
330	crazy	103	23	fire
331	crazy	25	54	fire
332	crazy	97	69	fire
333	crazy	24	127	fire
334	crazy	76	52	fire
335	crazy	52	176	fire
336	crazy	25	48	fire
337	crazy	104	68	fire
338	crazy	102	76	fire
339	crazy	26	43	fire
340	crazy	93	68	fire
341	crazy	30	42	fire
342	crazy	108	53	fire
343	crazy	32	46	fire
344	crazy	104	60	fire
345	crazy	69	34	fire
346	crazy	43	48	fire
347	crazy	87	79	fire
348	crazy	28	53	fire
349	crazy	97	72	fire
350	crazy	79	62	fire
351	crazy	36	39	fire
352	crazy	69	50	fire
353	crazy	97	85	fire
354	crazy	102	71	fire
355	crazy	47	47	fire
356	crazy	97	74	fire
357	crazy	23	206	fire
358	crazy	64	27	fire
359	crazy	97	86	fire
360	crazy	35	46	fire
361	crazy	29	123	fire
362	crazy	53	176	fire
363	crazy	97	67	fire
364	crazy	88	122	fire
365	crazy	27	49	fire
366	crazy	99	18	fire
367	crazy	66	38	fire
368	crazy	35	62	fire
369	crazy	97	80	fire
370	crazy	103	30	fire
371	crazy	96	64	fire
372	crazy	68	39	fire
373	crazy	19	99	fire
374	crazy	26	125	fire
375	crazy	105	18	fire
376	crazy	99	63	fire
377	crazy	104	64	fire
378	crazy	31	49	fire
379	crazy	98	84	fire
380	crazy	80	59	fire
381	crazy	70	54	fire
382	crazy	106	49	fire
383	crazy	68	44	fire
384	crazy	107	54	fire
385	crazy	102	31	fire
386	crazy	69	44	fire
387	crazy	99	67	fire
388	crazy	96	66	fire
389	crazy	29	53	fire
390	crazy	69	54	fire
391	crazy	29	127	fire
392	crazy	43	68	fire
393	crazy	101	70	fire
394	crazy	51	56	fire
395	crazy	29	122	fire
396	crazy	36	38	fire
397	crazy	101	16	fire
398	crazy	31	40	fire
399	crazy	102	66	fire
400	crazy	100	137	background
401	crazy	20	70	background
402	crazy	1	128	background
403	crazy	16	120	background
404	crazy	64	83	background
405	crazy	79	138	background
406	crazy	59	79	background
407	crazy	58	35	background
408	crazy	70	153	background
409	crazy	91	126	background
410	crazy	69	63	background
411	crazy	12	97	background
412	crazy	52	122	background
413	crazy	10	74	background
414	crazy	13	179	background
415	crazy	113	79	background
416	crazy	8	188	background
417	crazy	65	190	background
418	crazy	96	143	background
419	crazy	105	23	background
420	crazy	16	57	background
421	crazy	67	60	background
422	crazy	64	166	background
423	crazy	47	155	background
424	crazy	10	115	background
425	crazy	11	115	background
426	crazy	82	19	background
427	crazy	79	84	background
428	crazy	78	126	background
429	crazy	7	144	background
430	crazy	14	153	background
431	crazy	24	86	background
432	crazy	41	128	background
433	crazy	39	84	background
434	crazy	111	74	background
435	crazy	85	117	background
436	crazy	60	35	background
437	crazy	67	46	background
438	crazy	62	92	background
439	crazy	9	126	background
440	crazy	69	137	background
441	crazy	44	122	background
442	crazy	15	103	background
443	crazy	38	142	background
444	crazy	17	47	background
445	crazy	54	67	background
446	crazy	57	55	background
447	crazy	55	56	background
448	crazy	84	33	background
449	crazy	5	170	background
450	crazy	50	92	background
451	crazy	62	175	background
452	crazy	0	90	background
453	crazy	8	185	background
454	crazy	74	28	background
455	crazy	114	27	background
456	crazy	4	99	background
457	crazy	51	142	background
458	crazy	17	79	background
459	crazy	10	113	background
460	crazy	39	107	background
461	crazy	78	70	background
462	crazy	53	113	background
463	crazy	5	103	background
464	crazy	48	123	background
465	crazy	51	116	background
466	crazy	57	65	background
467	crazy	8	167	background
468	crazy	84	78	background
469	crazy	49	171	background
470	crazy	38	74	background
471	crazy	88	108	background
472	crazy	20	109	background
473	crazy	66	53	background
474	crazy	66	86	background
475	crazy	47	100	background
476	crazy	61	194	background
477	crazy	97	141	background
478	crazy	60	186	background
479	crazy	69	156	background
480	crazy	57	73	background
481	crazy	42	119	background
482	crazy	20	103	background
483	crazy	46	86	background
484	crazy	67	71	background
485	crazy	49	183	background
486	crazy	33	100	background
487	crazy	73	70	background
488	crazy	80	22	background
489	crazy	84	53	background
490	crazy	39	98	background
491	crazy	55	114	background
492	crazy	120	60	background
493	crazy	89	67	background
494	crazy	102	119	background
495	crazy	68	58	background
496	crazy	49	135	background
497	crazy	44	146	background
498	crazy	13	104	background
499	crazy	62	144	background
